nodeID nodeLabel nodeSymbol
417 112882 TFCP2
418 115455 CEBPZ
419 110867 NFYB
420 112796 ZEB1
421 115838 DRAP1
422 115779 KAT5
423 108201 E2F1
424 106962 ATM
425 106543 ABL1
426 110969 NTRK1
427 109501 HRAS
428 124375 HSH2D
429 108533 FES
430 110043 KRAS
431 112592 SRC
432 108362 EPHB2
433 112988 TNNC1
434 112992 TNNT1
435 112983 TNFAIP3
436 114405 TAX1BP1
437 113010 TP53
438 119707 WWOX
439 114126 CDC14A
440 112986 TNFRSF1A
441 111681 PSMD2
442 117302 SHC2
443 110975 DDR2
444 107434 CDH1
445 107881 CTNND1
446 122960 CBLL1
447 109879 ITGA1
448 106771 BIN1
449 109883 ITGA4
450 114265 EED
451 108602 FLI1
452 108893 GATA1
453 113269 VHL
454 113254 VBP1
455 123029 JADE1
456 113349 XRCC1
457 110168 LIG3
458 116440 PNKP
459 113403 ZNF24
460 113516 ZNF174
461 113388 ZNF10
462 115457 TRIM28
463 114333 TRIM24
464 115729 COG5
465 110374 MEFV
466 120736 VEZT
467 113344 XPA
468 118975 RPA4
469 113345 XPC
470 111823 RAD23A
471 123313 CMIP
472 113055 TRIO
473 107296 CASR
474 109304 HCFC1
475 108826 GABPA
476 106692 AGTR2
477 121573 MTUS1
478 115359 RANBP9
479 113866 USP11
480 112319 SFPQ
481 110904 NONO
482 111570 PRKCI
483 107128 BMX
484 116280 PTPN21
485 113067 TRO
486 110572 CITED1
487 106604 ACTN3
488 115942 TBR1
489 114141 CASK
490 109623 ID1
491 110216 LRP2
492 108085 DLG3
493 108378 ERBB4
494 116985 NCS1
495 116313 IL1RAPL1
496 115164 ARHGEF11
497 111378 PLXNB3
498 124683 UNC5A
499 114879 MAGED1
500 115432 LRPPRC
501 113997 UXT
502 117030 CBX5
503 112706 SUV39H1
504 113185 UBE3A
505 119006 UBQLN2
506 114768 RAB9A
507 115538 RABEPK
508 107870 CTBP2
509 116435 KLF8
510 122396 UPF3B
511 120248 TTC19
512 121025 NXF3
513 113348 XPO1
514 107426 CDC6
515 118179 PPP2R3B
516 108042 TIMM8A
517 113722 STAM
518 112354 SH3GL3
519 119029 SH3KBP1
520 108170 DTNA
521 108096 DMD
522 113293 WAS
523 115537 GPHN
524 116834 ARHGEF9
525 115393 PQBP1
526 116113 TXNL4A
527 119702 WBP11
528 116986 ZFPM2
529 108455 F8
530 111282 PHYH
531 110246 SH2D1A
532 112395 SLAMF1
533 108619 FMR1
534 113760 FXR1
535 117807 NUFIP1
536 110584 MSN
537 113099 TSC1
538 106864 ARAF
539 106937 ASS1
540 111591 MAP2K2
541 114103 COPS3
542 111418 POLA1
543 111872 RBMS1
544 112030 RPGR
545 121364 RPGRIP1
546 109590 HTR2C
547 114307 MPDZ
548 112721 SYP
549 106673 AP1G1
550 112735 TAF1
551 113190 UBTF
552 111837 RAN
553 113034 NR2C2
554 113841 NCOA3
555 111974 RNF4
556 113726 NCOA4
557 121251 PAK6
558 117406 RCHY1
559 114523 PIAS2
560 114539 BPY2
561 115831 SORBS1
562 109853 INSM1
563 115441 YAF2
564 116463 CBX3
565 110122 LBR
566 116774 MAPK8IP3
567 110029 KLC1
568 112528 SNTB2
569 107070 BCL2L1
570 121366 AVEN
571 107132 BNIP3
572 112165 RTN1
573 107057 BAX
574 107069 BCL2A1
575 106537 ABCA1
576 114302 FADD
577 121758 ANKRA2
578 120916 LRP2BP
579 107971 DAB2
580 108084 DLG2
581 112747 TAF13
582 112771 TBP
583 111746 PTPN12
584 114513 PSTPIP1
585 111787 PXN
586 113137 TUFT1
587 117294 TFIP11
588 115017 PDE4DIP
589 111170 PDE4D
590 109414 HNF4A
591 110852 NFE2L2
592 112855 TDG
593 106823 AIRE
594 106671 AP1B1
595 124202 PPP1R9B
596 107463 CDKN2A
597 109921 JAK3
598 114653 TIAF1
599 112653 STAT5A
600 108299 EIF5A
601 112045 RPL5
602 119659 PTRH2
603 106675 AES
604 112943 TLE1
605 120682 HES6
606 109412 FOXA2
607 109786 IL6ST
608 108373 EPS8
609 108188 DVL1
610 108488 FASN
611 107492 CENPF
612 111908 UPF1
613 113141 HIRA
614 118095 NFU1
615 111572 PKN2
616 111747 PTPN13
617 114074 PKP4
618 108159 DSC3
619 112217 ATXN1
620 113815 COIL
621 114804 PEX16
622 111782 PEX19
623 110762 NUBP1
624 114736 ZNHIT3
625 109605 IARS
626 108887 GARS
627 118165 HTRA2
628 107819 MAPK14
629 116389 DUSP10
630 107060 BBS4
631 111139 PCM1
632 114934 BCAR1
633 109146 RAPGEF1
634 111666 PSMB5
635 112186 S100A7
636 115581 TRAIP
637 108603 FLII
638 107860 CSTF2
